,cluster,id
393,18,6VFKuuqSbA1GpMEosUgTwQ
394,13,3FAJ6O0NOHQV8Mc5Ri6ENp
395,22,72ZrqClOsbyE8gdeW28EMy
396,12,5SFssNXGjeOxdAnECfgttm
397,12,1Jz1yhcPm1Yt6aoed3zact
398,9,6tDDoYIxWvMLTdKpjFkc1B
399,22,5XqDJFVCyRTm5J7cIfRmR1
400,9,2kMarngrIWYgmAdVjruuuW
401,22,7aJwamBFV2pjHTXUnlDgZb
402,18,5Jg9DV3m2umJpoHXV2e6j8
403,13,6x51Lq4KaHqB6rHfCpaI5H
404,16,4CPszpSnlbgnQLIQYyzIR2
405,0,7LJZyNjN5U0LdYSBQ9hlLz
406,17,5f2CDk3D2XX8XyL6kViwZI
407,18,6T3Ebo7EOh8cUOyE4OhFpp
408,18,5JycxhApZmzbA4xSwvqh6k
409,16,6u3CPnFMKANYgfdiifFOiJ
410,0,4Xr6BbSSu5HhImp8vfxMbg
411,0,0XkQ23l4GT8sFHgeNRGAO4
412,0,2UJsKjM595pEyWUcd8JEIR
413,22,6vztLRlDjURphQVkyxqix9
414,0,3Fy2uMZm0H6WbWhkXGjbmJ
415,9,1sVEcxx3au6WWt8WcQO4N9
416,9,7ynCvGoSYmyMyEh3F9p0mX
417,17,1LyDCI7Adz9s0z57TXezgQ
418,13,1KFHD2MK0wQADYddeed7Qf
419,23,58w68w4s8h9gw3xrDaXyuj
420,16,0lruAPwhxreBwk78gzK96P
421,0,0KS2h61pHQ4WmOwruD7uxD
422,2,15b25YHnwPmRelBZrhXBew
423,0,29zlMCUoFqwWMMTFwY7rTI
424,12,5TC6tn5hEWB2CtWSSxpUvK
425,22,08HPWLi0YmRUStJzkQ1ffh
426,18,0iDuW211AjTsYDPsLxyqX4
427,15,7beY8mXJuC4l0J2WgVoCfm
428,8,7IM5Blpr2xlz9hFBgr79cC
429,21,1OKy6TtXWD7oz1b1dComxI
430,0,02UJ1sCanP94fS2MdsWafh
431,9,2uddLj27GIDBIdwRuIomE4
432,12,55q1k6Ewwy1CWdHT4niANb
433,23,2Ee9amLUslOwgoJWZEpSSD
434,16,1lxs63LaZX1wHBr0qIt5oK
435,9,2RLkk4Zz2c1YD39htmCblL
436,22,0F5OVvDzfjaKUzZvVS5MSU
437,8,3qIdXWJRCTSHopNlz0Aqhc
438,0,62fpf6w40yy6htlkrGWcXS
439,6,6PFnjv46kOBFeS7LxECpmW
440,13,0FPMwL6lPQP5dYZr4fVKvp
441,16,0AoH0dl8AaSo9JthVo0rYE
442,5,2JeIlGQoHJslh4fzQPLQzM
443,23,7rVJxAAj8zEHOOGg3t4T0Q
444,17,4ZpKgfeAhZ1LdIVZdWm4jP
445,14,3BLTxcXu4VOAPfwbFlkdxp
446,16,4SEQfY8kbmYaLekI6gwXCb
447,15,4va43ZBHczZiXiFjYhKJFD
448,2,2Hdv7bQQQCxawJS0sJbe4t
449,17,60cgAlsz2BbdJF2pWEStlg
450,0,6Tbk4YASHhcIeVgI5WuB5F
451,14,6RJwd1g1aVRSCBQW2PJxPq
452,15,5hr55QtxToXumR95t6j8lh
453,2,4PJ7GSAn3rt808GqAD0G9a
454,9,5O9ICAImv3RX6NNpr583aH
455,0,6ffSGfKRLfW75iyp2QYY4I
456,12,3VEltwNocXM7dVGSdkAs7A
457,6,6BYUL9o0QUamZjVzYMk3re
458,23,4fcLehe551G05gjMeyDm98
459,14,3JNaX9HIye0QI4cnWhLHDY
460,16,1ZXIe812rP3Wja2FRzw8LA
461,12,01FDOSlrH6WTUtC1QbHbWo
462,11,66gZi8vqwjBHJZhcidHLyG
463,23,3cjIAiRo4lPRfr2rJyp762
464,15,0iN5svKlxrGVqTUQ32Ky8h
465,16,6bgUfXTnC8XCnsTkiucJtD
466,13,1orxVJv7Sq1KJVUjWCyoHv
467,0,1v5DtxxUJmbxCM8anC1xzc
468,0,6B8AK6mMZXQhCbnRbdeUOf
469,9,3rE8pSJmYtHZ40bnBfZo74
470,8,1DPZj1aBYDjY3245z0Ri8K
471,15,79xuBpBQqcczraevTgwWNu
472,10,05wMHsx4yahatIY5eQSoZW
473,0,0HZkWfVqTqAcrnGov2nu74
474,2,7MPtWbKuuu8YrM5iGsDzhS
475,16,12nBPDHM2toZej5I6uEJKK
476,6,5FqihAEx1XrnRkkPZWITxT
477,9,6xupqwX5Fc34MAmvsNt2YC
478,6,38H66Y7JGcNxdt2Qpgw4E8
479,9,5lhVeVnr57fveNAiE4sYvG
480,13,2BnikiNsfMLff11ZBSiB0X
481,17,7FLwyANlYYR35ajt3xwz2U
482,12,5aXFL31rKcYYRE1EZZADWI
483,14,62GXEx42WQkVL2V5Wiu4rQ
484,10,3gWpowQ3g0FjC6Sm9nhQFC
485,8,1DXwxjyQKaUttbci6020rI
486,14,1Ju7ehDq9sJAo8JveXV1Ea
487,14,6WvjZs6aOzTmi9wd0mZc1P
488,8,6lmi9GZwNGqD0paJlivrEb
489,6,4qxSHyNGvEwrBgecEeYkb1
490,10,48qeDAjMbKpgEHRXPWN0qS
491,14,2m3lsCNL71wIoPmXljayyf
492,0,1CcdV4xKN6NLYNPkbk1hpn
493,10,0zSclid3PoedDH8SZpT4x9
494,14,5QLJMLBju2HuCS113YgbcW
495,6,0W3135lfVN5henzCIdjo2u
496,22,3jyYJzCf1XA4hNwYbKywWS
497,2,4JMmqME0dUKdQiOAcikjlz
498,0,2vW3Dr8qK85vnsQSV8XPCY
499,14,022UAfh65Mv9fUdcZdYDZH
500,6,6cfyPHOVUKmPkDl3UCXo65
501,0,5bcaTPix1xDy3849WLCjif
502,15,0EITxthhxxGOWmiVazqXIY
503,0,3Lj4URycxYrlC7L9aHwSZo
504,17,0PGUj15oPPa7jlLIUnFAod
505,22,1skxL9v1RmBwo1fDccvkC3
506,9,2y80GJZFZE3vdd63XXuiW4
507,16,64ge6NqY2tL840qhyS5SzO
508,9,2knDuFWczh1Wv92eBAdPTa
509,6,67BtfxlNbhBmCDR2L2l8qd
510,8,5ZIFzmhVJRO3tRwtBXrPXh
511,9,6a3kNt1UlUOapDKmEr3JzZ
512,15,3VT8hOC5vuDXBsHrR53WFh
513,8,5nujrmhLynf4yMoMtj8AQF
514,16,4hSJUp6k7QeHLxU32MrLIU
515,12,6f3Slt0GbA2bPZlz0aIFXN
516,18,1v1oIWf2Xgh54kIWuKsDf6
517,18,1J14CdDAvBTE1AJYUOwl6C
518,3,3RcXFW8aiRYHRaDDYBqJ76
519,8,6cx06DFPPHchuUAcTxznu9
520,11,5axr5HmbZwBFHkc9mlU5aC
521,17,2z7QFsLAqNTGEtgAU6rS6W
522,17,37BZB0z9T8Xu7U3e65qxFy
523,18,7lPN2DXiMsVn7XUKtOW1CS
524,6,7MAibcTli4IisCtbHKrGMh
525,8,7Bk0uXKk1uPT0XuQbpFzvs
526,17,2rCbl9naJYhaxjLsfx88uM
527,16,2dNhNlpZAtV4lwAFW45LIv
528,15,0VjIjW4GlUZAMYd2vXMi3b
529,23,2MnLkFqY9Rpg9s3Zv6ZJdK
530,0,4MzXwWMhyBbmu6hOcLVD49
531,0,1nahzW3kfMuwReTka28tH5
532,16,1M4OcYkxAtu3ErzSgDEfoi
533,3,4jPy3l0RUwlUI9T5XHBW2m
534,9,02MWAaffLxlfxAUY7c5dvx
